-48531432, 43055976, 12503330
-49466846, 44594344, 13323680
-48881860, 43044633, 13784823
-49897164, 49101408, 13835696
-50937688, 51233830, 14288782
-51971786, 51842160, 14285208
-53029948, 54002141, 14694885
-54077272, 54519948, 14445420
-55134474, 56201103, 14365527
-56235928, 59320000, 15362952
-57355142, 61419020, 15513234
-58482530, 62413230, 16355970
-59631294, 64405157, 17061863
-60789095, 66125240, 17054132
-61955564, 67888203, 16980126
-63108255, 67977700, 17068614
-64234808, 67047785, 17310710
-65394368, 70135056, 17804352
-66553276, 70981915, 18095641
-67728275, 73165206, 18255440
-68895403, 73374900, 18690804
-70083951, 75366008, 19689000
-71284396, 77374066, 19754287
-72476892, 77749464, 19962216
-73693390, 80546662, 20282760
-74932326, 82982960, 20971496
-76188966, 85309362, 21360990
-77466712, 87538936, 22280988
-78732626, 87543918, 22594976
-79944147, 84426888, 22295412
-81158231, 85721990, 22409310
-82406639, 88696874, 23875390
-83667160, 90510450, 24438981
-84895712, 88953568, 24384192
-86127761, 89673997, 25365788
-87358710, 90609840, 25555722
-88606068, 93073981, 25825205
-89850572, 93764468, 26137700
-91105328, 95573589, 26568711
-92372450, 97743738, 26820810
-93634230, 99131360, 25976748
-94905467, 101033280, 26256840
-96192390, 103921823, 26083244
-97466308, 103638528, 26398604
-98755241, 105963462, 26887185
-100039894, 106184400, 27628316
-101340345, 108682666, 28048125
-102636001, 109476804, 28016604
-103918658, 108936405, 28577794
-105204420, 110525064, 28546688
-106467466, 109877460, 27940626
-105652117, 107460808, 28330640
-106962726, 113821155, 29684338
-108298934, 117547958, 29998980
-109648297, 120255909, 29988308
-111039396, 125258616, 30993798
-112432826, 126755119, 31122765
-113847960, 128701540, 33336320
-115276967, 130388592, 34843895
-116687231, 129331552, 35261484
-118107961, 131223736, 36064662
-119528166, 132629196, 35950740
-120886348, 127433915, 35258601
-122213001, 126097800, 34023626
-121448741, 114415800, 32984380
-120619432, 121382526, 33904800
-121492363, 126895485, 32962644
-120188975, 122944098, 31940202
-118888093, 122223060, 30915942
-117590062, 120923936, 30569420
-116299641, 118000215, 31602484
-114993129, 118537100, 31588476
-113763801, 109076191, 31322173
-112558834, 106531416, 29724840
-111390714, 101683491, 29403945
-110227546, 101670324, 27337876
-109106258, 96218325, 27254759
-107978413, 95602416, 27534012
-106887948, 92038225, 25792590
-105780765, 92120178, 26525720
-104723581, 86963222, 25304898
-103663442, 85509400, 26245760
-102600855, 84422547, 26648918
-101474201, 89447344, 26954676
-100342691, 89087904, 26634750
-99220229, 87652992, 25966840
-98093717, 86479640, 26592600
-96934568, 88514630, 26535488
-95777968, 87417768, 26211504
-94590463, 89452060, 25824000
-93479678, 82187924, 24706899
-92361614, 81773460, 24717460
-91212988, 83447290, 24688872
-90065782, 82888872, 23813292
-88950472, 79762731, 22827155
-87841737, 78064092, 22915482
-86761299, 74918660, 22491746
-85713204, 71760948, 21705376
-84681050, 69769717, 21262605
-83642444, 68839246, 21901330
-82563748, 70844301, 22244175
-81504945, 68642640, 21683160
-80466233, 66657198, 20859650
-79423920, 66011556, 20777166
-78362716, 66776248, 20367900
-77328719, 64343576, 19486584
-76294399, 63552975, 19255541
-75260496, 63013442, 18601740
-75989817, 68331300, 18358063
-76730191, 69978748, 18039900
-77491695, 72339806, 17619426
-78286509, 76733436, 18516904
-79063761, 76430367, 18451437
-79844990, 77708720, 18252480
-80625683, 78619491, 18042210
-81447327, 82580150, 17430514
-82667234, 84341778, 19355395
-83907303, 86025324, 20731968
-85130473, 85986680, 20521514
-86375702, 89187332, 20400366
-87602132, 88768275, 20404395
-88822914, 89633016, 20222500
