-49128530, 43811344, 12345060
-48531432, 43825476, 13157134
-49466846, 43799802, 13614640
-48881860, 48254832, 13666968
-49897164, 50365460, 14116628
-50937688, 50978124, 14115146
-51971786, 53116860, 14522004
-53029948, 53640594, 14277450
-54077272, 55309022, 14200406
-55134474, 58393125, 15188373
-56235928, 60474112, 15338928
-57355142, 61467575, 16174237
-58482530, 63443886, 16874370
-59631294, 65152810, 16868761
-60789095, 66904316, 16797544
-61955564, 67006590, 16887033
-63108255, 66103450, 17128492
-64234808, 69160958, 17618890
-65394368, 70009560, 17909088
-66553276, 72176487, 18069160
-67728275, 72396568, 18502008
-68895403, 74374350, 19492110
-70083951, 76369208, 19558700
-71284396, 76752676, 19766508
-72476892, 79527084, 20085840
-73693390, 81945673, 20769847
-74932326, 84256160, 21157552
-76188966, 86471388, 22070790
-77466712, 86489172, 22383808
-78732626, 83421806, 22088973
-79944147, 84713496, 22203720
-81158231, 87665515, 23658341
-82406639, 89470100, 24218810
-83667160, 87942732, 24166476
-84895712, 88666424, 25141312
-86127761, 89603064, 25331549
-87358710, 92051190, 25600638
-88606068, 92745289, 25912375
-89850572, 94545916, 26341628
-91105328, 96703911, 26593515
-92372450, 98087872, 25758456
-93634230, 99980850, 26038033
-94905467, 102850464, 25867680
-96192390, 102580992, 26182222
-97466308, 104893124, 26668590
-98755241, 105122556, 27405507
-100039894, 107606600, 27823740
-101340345, 108403502, 27794250
-102636001, 107878770, 28352772
-103918658, 109462323, 28323667
-105204420, 108831008, 27724032
-106467466, 108494085, 28112712
-105652117, 112737144, 29457740
-106962726, 116439015, 29771715
-108298934, 119132022, 29762832
-109648297, 124098814, 30762501
-111039396, 125592228, 30892226
-112432826, 127531526, 33091200
-113847960, 129213920, 34589560
-115276967, 128176806, 35005966
-116687231, 130062464, 35805204
-118107961, 131465782, 35693949
-119528166, 126325794, 35008540
-120886348, 125010750, 33784023
-122213001, 115410720, 32753720
-121448741, 122447285, 33669350
-120619432, 125792046, 33193152
-121492363, 124022555, 32165133
-120188975, 123304680, 31135204
-118888093, 122003614, 30787773
-117590062, 119063280, 31829840
-116299641, 119614710, 31817378
-114993129, 110076890, 31550802
-113763801, 107517818, 29943405
-112558834, 102633804, 29621752
-111390714, 102629478, 27541890
-110227546, 97134690, 27459682
-109106258, 96521670, 27742603
-107978413, 92931800, 25989480
-106887948, 93023317, 26729764
-105780765, 87824244, 25501060
-104723581, 86364494, 26450805
-103663442, 85275300, 26858752
-102600855, 90360072, 27168602
-101474201, 90006336, 26847828
-100342691, 88566044, 26176250
-99220229, 87389952, 26808800
-98093717, 89456275, 26752992
-96934568, 88357744, 26428128
-95777968, 90424365, 26039200
-94590463, 83091088, 24914520
-93479678, 82682054, 24926930
-92361614, 84384900, 24899888
-91212988, 83830791, 24018579
-90065782, 80679544, 23025652
-88950472, 78971814, 23116495
-87841737, 75800056, 22690788
-86761299, 72615245, 21899174
-85713204, 70610316, 21454160
-84681050, 69678749, 22100433
-83642444, 71718922, 22448250
-82563748, 69500673, 21883930
-81504945, 67500960, 21054600
-80466233, 66857858, 20973177
-79423920, 67643472, 20561880
-78362716, 65190202, 19673955
-77328719, 64400348, 19442488
-76294399, 63864975, 18784110
-75260496, 67420216, 18539826
-75989817, 69057975, 18220299
-76730191, 71400328, 17797400
-77491695, 75749674, 18705852
-78286509, 75462894, 18641658
-79063761, 76737361, 18442610
-79844990, 77648880, 18232128
-80625683, 81573075, 17615945
-81447327, 83325612, 19151654
-82667234, 85001213, 20516010
-83907303, 84975072, 20309952
-85130473, 88150270, 20192199
-86375702, 87747950, 20198290
-87602132, 88614459, 20020275
-88822914, 88144760, 20149800
-90026057, 90179428, 19843066
-91235775, 90614340, 20475480
-92443341, 93039947, 20498236
-93664770, 95093500, 21321456
-94903409, 101246217, 21338730
-96195304, 103130878, 21127390
-97491756, 101071640, 21462916
-98756256, 101851008, 22311828
-100023795, 101476841, 22918231
-101280207, 102012904, 23471910
-102534536, 98359074, 23419446
-103739048, 98331400, 24316320
-102972844, 97192755, 24369015
-102206754, 96352522, 24581136
-101439189, 95260693, 25061720
-100675048, 94393344, 25279648
