2146
Date,Open,High,Low,Close,Adj Close,Volume
1092960000000,196.120819,196.961502,195.099976,196.060776,117.833626,2709310
1093219200000,196.240921,196.601212,194.91983,195.220078,117.328308,2231868
1093305600000,196.361023,196.661255,194.619583,195.940674,117.761421,2641549
1093392000000,195.280136,198.102448,194.679642,196.901459,118.338852,2621232
1093478400000,196.661255,197.561996,196.000717,196.901459,118.338852,1518920
1093564800000,196.661255,197.321808,196.060776,196.781357,118.266693,1311624
1093824000000,195.940674,196.661255,195.460281,195.580383,117.544899,1561402
1093910400000,195.099976,197.021561,194.019089,196.901459,118.338852,2767462
1093996800000,196.901459,197.982346,195.880615,197.441895,118.663589,1915511
1094083200000,197.561996,199.123276,196.841415,198.94313,119.56588,2303776
1094169600000,198.162491,198.883087,196.841415,197.201706,118.519318,1942556
1094515200000,198.462738,201.104904,198.342636,200.204163,120.323799,3162538
1094601600000,200.204163,202.486038,200.144119,202.125748,121.478676,4495044
1094688000000,201.765442,204.347565,201.705399,203.326721,122.200523,4358190
1094774400000,202.966431,204.227463,201.285049,203.446823,122.272644,2704680
1095033600000,203.446823,204.467667,202.425995,202.666183,121.803474,2851493
1095120000000,201.765442,203.086533,201.285049,203.086533,122.056129,2302993
1095206400000,203.086533,203.086533,201.104904,201.345108,121.009537,2091833
1095292800000,201.645355,202.726242,201.164948,201.345108,121.009537,1576173
1095379200000,202.365936,205.608597,202.365936,205.488495,123.499786,4893734
1095638400000,204.467667,206.989731,204.287521,205.428452,123.463646,3293764
1095724800000,205.488495,207.350021,204.347565,206.929688,124.36586,2539999
1095811200000,205.368408,205.668655,202.425995,203.74707,122.453125,3393848
1095897600000,202.786285,202.786285,200.564468,200.684555,121.32769,2537334
1095984000000,201.164948,201.285049,199.423523,200.624512,121.29142,2218846
1096243200000,198.883087,200.024017,198.222549,198.883087,120.238541,2815306
1096329600000,199.36348,200.984802,198.402695,200.024017,120.928299,2567859
1096416000000,200.864716,201.645355,199.843872,200.864716,121.436607,2407441
1096502400000,200.564468,201.8255,199.963974,201.645355,121.908508,3502076
1096588800000,202.365936,204.107361,202.065689,203.987274,123.324394,2613322
1096848000000,204.167419,205.728699,203.506882,204.888,123.868996,2586744
1096934400000,204.707855,204.888,203.086533,204.467667,123.614891,2080642
1097020800000,204.707855,206.569382,203.74707,206.449295,124.812866,2387940
1097107200000,205.008102,206.449295,203.867172,203.867172,123.251831,2322944
1097193600000,204.047318,205.968887,201.164948,202.60614,122.489418,3055459
1097452800000,202.966431,204.767914,202.846329,204.167419,123.43335,1461684
1097539200000,202.966431,205.368408,202.365936,204.287521,123.505898,2015246
1097625600000,205.668655,205.848801,201.465195,202.425995,122.380501,2552455
1097712000000,202.365936,202.966431,200.564468,200.924759,121.472885,2108336
1097798400000,201.285049,202.846329,200.564468,201.465195,121.799622,2518683
1098057600000,200.564468,204.347565,199.483582,203.506882,123.033951,2521031
1098144000000,203.446823,204.767914,200.684555,200.744614,121.364052,2727562
1098230400000,201.044861,201.405151,198.522781,199.483582,120.60157,2733973
1098316800000,199.063232,201.164948,198.162491,200.384308,121.146126,2775006
1098403200000,200.384308,200.864716,196.601212,197.862244,119.621422,2746762
1098662400000,198.762985,198.762985,196.060776,197.561996,119.439857,2441813
1098748800000,198.762985,202.065689,197.561996,201.945602,122.090111,3341708
1098835200000,201.585297,203.867172,200.264221,203.867172,123.251831,2779203
1098921600000,202.966431,205.068161,202.425995,204.347565,123.542259,2394685
1099008000000,203.566925,205.068161,202.966431,204.888,123.868996,3052661
1099267200000,204.767914,205.008102,203.026489,204.467667,123.614891,2151434
1099353600000,203.867172,206.449295,203.566925,204.467667,123.614891,2818187
1099440000000,206.569382,206.869629,204.347565,206.149048,124.631386,3148516
1099526400000,206.329193,210.712784,206.149048,210.712784,127.39048,4202218
1099612800000,211.373322,212.57431,208.851257,211.313278,127.75351,3478229
1099872000000,210.712784,211.493423,209.69194,210.892929,127.499413,2234716
1099958400000,210.292435,212.814514,210.292435,212.694412,128.588486,2633622
1100044800000,213.054703,213.775299,211.973816,212.093918,128.225418,2838670
1100131200000,212.694412,215.45668,212.57431,214.976288,129.968048,2393919
1100217600000,215.997116,217.678497,215.156433,217.678497,131.601685,3136160
1100476800000,217.678497,217.798599,215.877014,216.777756,131.057175,2387108
1100563200000,216.477509,217.618454,215.27652,216.777756,131.057175,2188537
1100649600000,217.858643,220.981201,216.777756,218.278992,131.964752,3105485
1100736000000,218.579239,221.341507,218.459137,221.161346,133.707306,2615037
1100822400000,221.161346,221.161346,215.816971,217.798599,131.674286,3632103
1101081600000,217.678497,217.798599,215.816971,216.717712,131.020905,2557684
1101168000000,215.997116,216.417465,213.114761,215.036331,130.004379,3500644
1101254400000,215.27652,216.177261,213.535095,214.015488,129.387207,2798653
1101427200000,213.775299,213.955444,212.814514,212.814514,128.661118,1313905
1101686400000,213.595154,214.555939,210.892929,211.973816,128.152832,3602127
1101772800000,211.973816,213.835342,211.973816,212.334106,128.370651,3841414
1101859200000,212.334106,216.297363,212.334106,216.297363,130.766769,3615333
1101945600000,215.27652,216.717712,214.676041,215.816971,130.476257,2660866
1102032000000,215.216476,216.357407,214.075546,215.156433,130.07692,2525411
1102291200000,214.075546,214.796127,213.71524,214.195633,129.496033,1949150
1102377600000,213.775299,214.075546,211.793671,212.033875,128.189117,3124769
1102464000000,214.075546,215.576767,213.414993,214.435837,129.641296,2729194
1102550400000,213.655197,216.717712,213.174805,216.297363,130.766769,2644813
1102636800000,217.078003,221.04126,216.177261,220.320663,133.199036,5335455
1102896000000,221.281448,225.304749,221.101303,225.06456,136.067078,4695397
1102982400000,224.524109,226.685883,223.263077,224.464066,135.703995,4391463
1103068800000,224.524109,225.244705,222.242233,224.524109,135.740311,3395730
1103155200000,223.983673,225.124603,222.18219,222.842728,134.723785,3967694
1103241600000,218.579239,222.722626,217.738541,220.680954,133.416916,5827950
1103500800000,221.701797,223.383179,221.701797,222.842728,134.723785,2851626
1103587200000,222.842728,223.623367,222.002045,223.203033,134.941666,2729094
1103673600000,220.801056,223.022873,220.140518,221.221405,134.539993,2896556
1103760000000,220.680954,221.881943,220.440765,220.801056,134.284286,1764918
1104105600000,221.281448,221.821899,219.600067,219.600067,133.55394,1648431
